教会名,郵便番号,住所,担任教師
秋田希望キリスト教会,010-0041,秋田県秋田市広面堰塚32-5,申吹錫
山形しあわせキリスト教会,990-2494,山形県山形市末広町6-18,李格寅
福島希望キリスト教会,963-8022,福島県郡山市西ノ内1-14-18,朴今錫
つくばキリストの愛教会,305-0035,茨城県つくば市松代2-14-7,蔡連培
宇都宮めぐみキリスト教会,320-0821,栃木県宇都宮市一条4-4-22,呉洙眞
さいたま感謝キリスト教会,330-0856,埼玉県さいたま市大宮区三橋3-18-2,康泰榮
NEW GRACE 教会,260-0044,千葉県千葉市中央区松波2-1-14,閔信基
流れのほとりキリスト教会,270-0152,千葉県流山市前平井125-1 Bシティアールレジデンス2F-3,羅大路
オリーブハウスチャーチ,161-0034,東京都新宿区上落合2-10-11 ヴィラフォンテ101号,松原信幸
ヨハン東京キリスト教会,169-0074,東京都新宿区北新宿4-30-2,楊在成
東京活水基督教会,136-0071,東京都江東区亀戸4-46-12 エープレイス4階,喩冬
東京グレイスキリスト教会,143-0026,東京都大田区西馬込2-20-1-603,藤元一
東京アガペキリスト教会,170-0005,東京都豊島区南大塚3-48-2 NCビル2階,權寧滿
八王子めぐみキリスト教会,192-0062,東京都八王子市大横町1-10,鄭秀鎭
多摩ともしびキリスト教会,192-0352,東京都八王子市大塚634-24,尹在卿
三鷹栄光キリスト教会,180-0013,東京都武蔵野市西久保3-8-1,高采煜
横浜キリスト教会,220-0055,神奈川県横浜市西区浜松町11-28 2階,林東晛
相模原キリスト教会,252-0332,神奈川県相模原市南区西大沼1-6-1,金其南
厚木希望キリスト教会,243-0003,神奈川県厚木市寿町2-2-17,吉村博史
甲府愛のキリスト教会,400-0025,山梨県甲府市朝日1-5-3,文栄喚
松本栄光キリスト教会,390-0806,長野県松本市女鳥羽3丁目6-8-2 マンション文園201号,金順子
新潟みのりキリスト教会,951-8166,新潟県新潟市中央区関屋浜松町118番地,金恩栄
富山ホサナキリスト教会,939-8206,富山県富山市布瀬町1-4-57,程鉉熙
金沢アガペキリスト教会,920-0867,石川県金沢市長土塀2-1-22,實方秀太
岐阜塩と光キリスト教会,500-8891,岐阜県岐阜市香蘭2-5,松久和将
ヨハン静岡キリスト教会,420-0011,静岡県静岡市葵区安西1-25,朴鍾國
ヨハン浜松キリスト教会,430-0942,静岡県浜松市中区元浜町239-1,深川康志
名古屋愛知キリスト教会,460-0012,愛知県名古屋市中区千代田5-16-13,嚴善一
京都みどり福音教会,600-8028,京都府京都市下京区寺町通り松原下る植松町717-2,具ハンビョル
大阪天満橋キリスト教会,540-0033,大阪府大阪市中央区石町2-2-1,曹乙用
ひらかた教会,573-0027,大阪府枚方市大垣内町3-1-40-102,小林学
神戸キリスト教会,650-0001,兵庫県神戸市中央区加納町2-7-4,崔現郁
ヨハン西宮キリスト教会,662-0926,兵庫県西宮市鞍掛町9-9,郭宝慶
奈良シオンキリスト教会,630-8141,奈良県奈良市南京終町1-189-4,朴善姫
岡山ハレルヤ福音教会,700-0025,岡山県岡山市北区寿町4-19,李玉心
広島箱舟キリスト教会,730-0803,広島県広島市中区広瀬北町8-15,金明洙
愛媛箱舟キリスト教会,790-0813,愛媛県松山市萱町5-10-10,川上和徳
北九州栄キリスト教会,805-0067,福岡県北九州市八幡東区祇園1-1-3,曹圭範
福岡アガペキリスト教会,814-0003,福岡県福岡市早良区城西3-1-9,洪永淳
長崎命の木キリスト教会,852-8118,長崎県長崎市松山町3-64,姜成勲
大分シャロームキリスト教会,870-0028,大分県大分市新町10-29,全錦璟
