聖書キリスト教会,Biblical Church of Tokyo
聖書キリスト教会 MISSION CHURCH, Seishokirisuto Mission Church
池の上キリスト教会OCC・LLC市川チャペル,LLC Ichikawa Chapel
レスガテ福音教会,AD Resgate Kani
ユニバーサル神の王国教会,Universal Church of the Kingdom of God
日本リバイバル教会,Japan Revival Church
信仰リバイバル教会,Faith Revival Church
神の恵み国際教会,International Church of God's Grace
ボラ・デ・ネーヴェ教会,Bola de Neve Church
勝利ファミリーセンター,Victory Family Centre
ペンテコステ宣教キリスト教会,Pentecostal Missionary Church of Christ
グレープバイン・クリスチャン教会,Grapevine Christian Church
世界宣教運動,Worldwide Missionary Movement
