キリスト,Christ
福音,Gospel
聖書,Bible
聖和,Seiwa
聖光,Seiko
聖愛,Seiai
聖約,Seiyaku
聖徒,Seito
愛泉,Aisen
まぶね,Mabune
地の果て,Chinohate
オンヌリ,Onnuri
一麦,Ichibaku
神召,Shinsho
招待,Shotai
ライフリバー,Life River
羔羊,Lamb
信愛,Shinai
リバイバル,Revival
グレイス,Grace
のぞみ,Nozomi
復活,Fukkatsu
望み,Nozomi
希望,Kibou
栄光,Glory
ホープ,Hope
コミュニティ,Community
ソフイア,Sophia
ソフィア,Sophia
バイブル,Bible
ごすぺる,Gospel
ゴスペル,Gospel
聖三一,Holy Trinity
サミル,Samiru
ホサナ福音キリスト,Hosanna Gospel
聖マルコ,St. Mark
聖ルカ,St. Luke
聖アンデレ,St. Andrew
聖ペテロ,St. Peter
聖ルシヤ,St. Lucia
聖ルチア,St. Lucia
KBC,KBC
ＪＥＣＡ,JECA
ゆいまーる,Yuimaru
アガペー,Agape
アガペ,Agape
ＴＬＥＡ,TLEA
みぎわ,migiwa
トポス,Topos
箱舟,Ark
主座,Shuza
主の羊,Shunohitsuji
独立新生,Dokuritsu Shinsei
ミズラ,Mizura
ガリラヤ,Gallerie
同志社,Doshisha
ＪＯＹＦＵＬ,Joyful
ＳＤＡ,SDA
三育学院,Saniku Gakuin
三育,Saniku
世真留,Semaru
香り,Kaori
フロントライン,Frontline
インマヌエル,Immanuel
Catch The Fire, Catch The Fire
殉愛,Junai
愛聖,Aisei
国際,International
マリ,Mari
あどないいるえ,Adonai Jireh
パルディス,Pardis
サンクチュアリ,Sanctuary
第一,First
エンジェル,Angel
信仰,Faith
地の果て宣教教会,End Of The Earth Mission Church
純福音,Full Gospel
カルバリー,Calvary
ベツレヘム,Bethlehem
シオン,Zion
みことば,Mikotoba
ホーム,Home
ライラック,Lilac
カリス,Charis
企救,Kiku
ザ・クラウド,The Cloud
ジグチョン,Jiguchon
改革派,Reformed
地の果て宣教,End Of The Earth Mission
めぐみ,Megumi
恵み,Megumi
シャローム,Shalom
ベテル,Bethel
ホサナ,Hosanna
カルバリ,Calvary
サンライズ,Sunrise
エペソ,Ephesus
自由,Jiyu
新生,Shinsei
神愛,Shinai
聖パウロ,St. Paul
同胞,Doho
恵泉,Keisen
イエス,Jesus
ユニバーサル,Universal
グレース,Grace
聖ミカエル,St. Michael
ブレッシング,Blessing
グロリア,Gloria
燈,Tomoshibi
あおぞら,Aozora
ハレルヤ,Halleluya
ヒズ・プレゼンス,His Presence
センター,Center
グローバル,Global
ミッション,Mission
エブリネイション,Every Nation
ハーベスト,Harvest
カテドラル,Cathedral
クリエイターズアーク,Creators Arc
ジーザスコール,Jesus Call
ジーザスセンター,Jesus Center
ジーザスハウス,Jesus House
ジーザス・コミュニティ,Jesus Community
ジーザス・ファミリー,Jesus Family
セントラル,Central
ドウラード,Dourado
プロジェト,Project
ヴィーニョ・ノーヴォ,Vinho Novo
ヴィザォン・ミッショナリア,Missionary Vision
ベレン,Belem
ニュー,New
ジャパン,Japan
回復ミニストリー,Restoration Ministry
ヴィンヤード,Vineyard
ビクトリー,Victory
ミッショナリー,Missionary
ペンテコステ,Pentecostal
ファミリー,Family
エターナルライフ,Eternal Life
グレープバイン,Grapevine
ハウス・オブ・ワーシップ,House of Worship
ビジョン,Vision
福音派,Evangelical
生きた水,Living Water
生きる家族,Living Family
満ち足りた人生,Full Life
神の恵み,Grace of God
神の王国,Kingdom of God
すべての民のためのキリスト,Christ for the Nations
信仰のリバイバル,Revival of Faith
日本リバイバル,Japan Revival
共同体,Community
バプテスト,Baptist
本部,Headquarters
再臨キリスト,Christ Is Coming
平和,Heiwa
共立,Kyoritsu
