再臨キリスト,Cristo Viene
キリスト,Cristo
福音,Evangelio
聖書,Biblia
聖和,Seiwa
聖光,Seiko
聖愛,Seiai
聖約,Seiyaku
聖徒,Seito
愛泉,Aysén
まぶね,Mabune
地の果て,Chinohate
オンヌリ,Onnuri
一麦,Ichibaku
神召,Shinsho
招待,Shotai
ライフリバー,Río de la vida
羔羊,Cordero
信愛,Shinai
リバイバル,Avivamiento
グレイス,Gracia
のぞみ,Nozomi
復活,Fukkatsu
望み,Nozomi
希望,Kibou
栄光,Gloria
ホープ,Esperanza
コミュニティ,Comunidad
ソフイア,Sofía
ソフィア,Sofía
バイブル,Biblia
ごすぺる,Evangelio
ゴスペル,Evangelio
聖三一,Santísima Trinidad
サミル,Samirú
ホサナ福音キリスト,Hosanna Evangelio
聖マルコ,San Marcos
聖ルカ,San Lucas
聖アンデレ,San Andrés
聖ペテロ,San Pedro
聖ルシヤ,Santa Lucía
聖ルチア,Santa Lucía
KBC,KBC
ＪＥＣＡ,JECA
ゆいまーる,Yuimaru
アガペー,Ágape
アガペ,Ágape
ＴＬＥＡ,TLEA
みぎわ,Migiwa
トポス,Topos
箱舟,Arca
主座,Shuza
主の羊,Shunohitsuji
独立新生,Dokuritsu Shinsei
ミズラ,Mizura
ガリラヤ,Galería
同志社,Doshisha
ＪＯＹＦＵＬ,Alegre
ＳＤＡ,ASD
三育学院,Saniku Gakuin
三育,Saniku
世真留,Semaru
香り,Kaori
フロントライン,Primera línea
インマヌエル,Emanuel
Catch The Fire,Atrapar el fuego
殉愛,Junai
愛聖,Aisei
国際,Internacional
マリ,Mari
あどないいるえ,Adonai Jireh
パルディス,Pardis
サンクチュアリ,Santuario
第一,Primero
エンジェル,Ángel
信仰,Fe
地の果て宣教教会,Iglesia Misión del Fin de la Tierra
純福音,Evangelio completo
カルバリー,Calvario
ベツレヘム,Belén
シオン,Sión
みことば,Mikotoba
ホーム,Inicio
ライラック,Lila
カリス,Charis
企救,Kiku
ザ・クラウド,La nube
ジグチョン,Jiguchon
改革派,Reformado
地の果て宣教,Misión del fin de la tierra
めぐみ,Megumi
恵み,Megumi
シャローム,Shalom
ベテル,Betel
ホサナ,Hosana
カルバリ,Calvario
サンライズ,Amanecer
エペソ,Éfeso
自由,Jiyu
新生,Shinsei
神愛,Shinai
聖パウロ,San Pablo
同胞,Doho
恵泉,Keisen
イエス,Jesús
ユニバーサル,Universales
グレース,Gracia
聖ミカエル,San Miguel
ブレッシング,Bendición
グロリア,Gloria
燈,Tomoshibi
あおぞら,Aozora
ハレルヤ,Aleluya
ヒズ・プレゼンス,Su Presencia
センター,Centro
グローバル,Mundial
ミッション,Misión
エブリネイション,Cada nación
ハーベスト,Cosecha
カテドラル,Catedral
クリエイターズアーク,Arco de los creadores
ジーザスコール,Jesús llama
ジーザスセンター,Centro Jesús
ジーザスハウス,Casa de Jesús
ジーザス・コミュニティ,Comunidad de Jesús
ジーザス・ファミリー,Familia Jesús
セントラル,Céntrico
ドウラード,Dorado
プロジェト,Proyecto
ヴィーニョ・ノーヴォ,Vino Novo
ヴィザォン・ミッショナリア,Visión Misionera
ベレン,Belém
ニュー,Nuevo
ジャパン,Japón
回復ミニストリー,Ministerio de Restauración
ヴィンヤード,Viñedo
ビクトリー,Victoria
ミッショナリー,Misionero
ペンテコステ,Pentecostal
ファミリー,Familia
エターナルライフ,Vida eterna
グレープバイン,Vid
ハウス・オブ・ワーシップ,Casa de Adoración
ビジョン,Visión
福音派,Evangélico
生きた水,Agua Viva
生きる家族,Familia viva
満ち足りた人生,Vida plena
神の恵み,Gracia de Dios
神の王国,Reino de Dios
すべての民のためのキリスト,Cristo para las naciones
信仰のリバイバル,Renacimiento de la fe
日本リバイバル,Renacimiento de Japón
共同体,Comunidad
バプテスト,Bautista
本部,Sede
平和,Heiwa
共立,Kyoritsu
