キリスト,Kristus
福音,Injil
聖書,Alkitab
聖和,Seiwa
聖光,Seiko
聖愛,Seiai
聖約,Seiyaku
聖徒,Seito
愛泉,Aisen
まぶね,Mabune
地の果て,Chinohate
オンヌリ,Onnuri
一麦,Ichibaku
神召,Shinsho
招待,Shotai
ライフリバー,Sungai Kehidupan
羔羊,Domba
信愛,Shinai
リバイバル,Kebangkitan
グレイス,Rahmat
のぞみ,Nozomi
復活,Fukkatsu
望み,Nozomi
希望,Kibou
栄光,Kemuliaan
ホープ,Harapan
コミュニティ,Komunitas
ソフイア,Sofia
ソフィア,Sofia
バイブル,Alkitab
ごすぺる,Injil
ゴスペル,Injil
聖三一,Tritunggal Mahakudus
サミル,Samiru
ホサナ福音キリスト,Injil Hosana
聖マルコ,St.Markus
聖ルカ,St Lukas
聖アンデレ,St.Andrew
聖ペテロ,Santo Petrus
聖ルシヤ,St.Lucia
聖ルチア,St.Lucia
KBC,KBC
ＪＥＣＡ,JECA
ゆいまーる,Yuimaru
アガペー,Ternganga
アガペ,Ternganga
ＴＬＥＡ,TLEA
みぎわ,Migiwa
トポス,Topos
箱舟,Tabut
主座,Shuza
主の羊,Shunohitsuji
独立新生,Dokuritsu Shinsei
ミズラ,Mizura
ガリラヤ,Galeri
同志社,Doshisha
ＪＯＹＦＵＬ,Menyenangkan
ＳＤＡ,SDA
三育学院,Saniku Gakuin
三育,Saniku
世真留,Semaru
香り,Kaori
フロントライン,Garis depan
インマヌエル,Imanuel
Catch The Fire,Tangkap Apinya
殉愛,Junai
愛聖,Aisei
国際,Internasional
マリ,Mari
あどないいるえ,Adonai Jireh
パルディス,Pardis
サンクチュアリ,Tempat Suci
第一,Pertama
エンジェル,Malaikat
信仰,Iman
地の果て宣教教会,Gereja Misi Akhir Bumi
純福音,Injil Sepenuhnya
カルバリー,Kalvari
ベツレヘム,Betlehem
シオン,Sion
みことば,Mikotoba
ホーム,Rumah
ライラック,Ungu
カリス,Charis
企救,Kiku
ザ・クラウド,Awan
ジグチョン,Jiguchon
改革派,Direformasi
地の果て宣教,Misi Akhir Bumi
めぐみ,Megumi
恵み,Megumi
シャローム,Syalom
ベテル,Betel
ホサナ,Hosana
カルバリ,Kalvari
サンライズ,Matahari terbit
エペソ,Efesus
自由,Jiyu
新生,Shinsei
神愛,Shinai
聖パウロ,Santo Paulus
同胞,Doho
恵泉,Keisen
イエス,Yesus
ユニバーサル,Universal
グレース,Rahmat
聖ミカエル,St.Michael
ブレッシング,Berkah
グロリア,Gloria
燈,Tomoshibi
あおぞら,Aozora
ハレルヤ,Haleluya
ヒズ・プレゼンス,Kehadirannya
センター,Pusat
グローバル,Global
ミッション,Misi
エブリネイション,Setiap Bangsa
ハーベスト,Panen
カテドラル,Katedral
クリエイターズアーク,Arc Pencipta
ジーザスコール,Panggilan Yesus
ジーザスセンター,Pusat Yesus
ジーザスハウス,Rumah Yesus
ジーザス・コミュニティ,Komunitas Yesus
ジーザス・ファミリー,Keluarga Yesus
セントラル,Pusat
ドウラード,Dourado
プロジェト,Proyek
ヴィーニョ・ノーヴォ,Vinho Novo
ヴィザォン・ミッショナリア,Visi Misionaris
ベレン,Belem
ニュー,Baru
ジャパン,Jepang
回復ミニストリー,Kementerian Restorasi
ヴィンヤード,Kebun anggur
ビクトリー,Kemenangan
ミッショナリー,Misionaris
ペンテコステ,Pentakosta
ファミリー,Keluarga
エターナルライフ,Kehidupan Kekal
グレープバイン,Selentingan
ハウス・オブ・ワーシップ,Rumah Ibadah
ビジョン,Visi
福音派,Injili
生きた水,Air Hidup
生きる家族,Keluarga Hidup
満ち足りた人生,Kehidupan Penuh
神の恵み,Anugerah Tuhan
神の王国,Kerajaan Tuhan
すべての民のためのキリスト,Kristus untuk Bangsa-Bangsa
信仰のリバイバル,Kebangkitan Iman
日本リバイバル,Kebangkitan Jepang
共同体,Komunitas
バプテスト,Pembaptis
本部,Markas Besar
再臨キリスト,Kristus Akan Datang
平和,Heiwa
共立,Kyoritsu
