日本基督教団,일본기독교단
日本キリスト教団,일본기독교단
基督教団,기독교단
キリスト,그리스도
福音,복음
聖書,성경
平和,헤이와
共立,교리쓰
バプテスト,침례
聖和,세이와
聖光,세이코
聖愛,세이아이
聖約,세이야쿠
聖徒,세이토
愛泉,아이센
まぶね,마부네
地の果て,치노하테
オンヌリ,온누리
一麦,이치바쿠
神召,신쇼
招待,쇼타이
ライフリバー,라이프 리버
羔羊,어린양
信愛,시나이
リバイバル,부흥
グレイス,그레이스
のぞみ,노조미
復活,후카츠
望み,노조미
希望,키보
栄光,영광
ホープ,희망
コミュニティ,커뮤니티
ソフイア,소피아
ソフィア,소피아
バイブル,성경
ごすぺる,복음
ゴスペル,복음
聖三一,삼위일체
サミル,사미루
ホサナ福音キリスト,호산나 복음
聖マルコ,성 마가
聖ルカ,성 누가
聖アンデレ,성 안드레
聖ペテロ,성 베드로
聖ルシヤ,성 루시아
聖ルチア,성 루시아
KBC,KBC
ＪＥＣＡ,JECA
ゆいまーる,유이마루
アガペー,아가페
アガペ,아가페
ＴＬＥＡ,TLEA
みぎわ,미기와
トポス,토포스
箱舟,방주
主座,슈자
主の羊,슈노히츠지
独立新生,도쿠리츠 신세이
ミズラ,미즈라
ガリラヤ,갤러리
同志社,도시샤
ＪＯＹＦＵＬ,조이풀
ＳＤＡ,SDA
三育学院,사니쿠 가쿠인
三育,사니쿠
世真留,세마루
香り,카오리
フロントライン,최전선
インマヌエル,임마누엘
Catch The Fire,캐치 더 파이어
殉愛,주나이
愛聖,아이세이
国際,국제
マリ,마리
あどないいるえ,아도나이 이레
パルディス,파디스
サンクチュアリ,성역
第一,첫 번째
エンジェル,천사
信仰,신앙
地の果て宣教教会,지구 선교 교회의 끝
純福音,순복음
カルバリー,갈보리
ベツレヘム,베들레헴
シオン,시온
みことば,미코토바
ホーム,홈
ライラック,라일락
カリス,카리스
企救,키쿠
ザ・クラウド,클라우드
ジグチョン,지구촌
改革派,개혁
地の果て宣教,지구 종말 미션
めぐみ,메구미
恵み,메구미
シャローム,샬롬
ベテル,베델
ホサナ,호산나
カルバリ,갈보리
サンライズ,일출
エペソ,에베소
自由,지유
新生,신세이
神愛,시나이
聖パウロ,세인트 폴
同胞,도호
恵泉,게이센
イエス,예수
ユニバーサル,유니버설
グレース,그레이스
聖ミカエル,세인트 마이클
ブレッシング,축복
グロリア,글로리아
燈,토모시비
あおぞら,아오조라
ハレルヤ,할렐루야
ヒズ・プレゼンス,그의 임재
センター,센터
グローバル,글로벌
ミッション,선교
エブリネイション,에브리네이션
ハーベスト,수확
カテドラル,대성당
クリエイターズアーク,크리에이터스 아크
ジーザスコール,예수님의 부르심
ジーザスセンター,예수센터
ジーザスハウス,예수의 집
ジーザス・コミュニティ,예수 공동체
ジーザス・ファミリー,예수 가족
セントラル,센트럴
ドウラード,두라도
プロジェト,프로젝트
ヴィーニョ・ノーヴォ,비뉴 노보
ヴィザォン・ミッショナリア,선교사의 비전
ベレン,벨렘
ニュー,새로운
ジャパン,일본
回復ミニストリー,복원사역
ヴィンヤード,포도원
ビクトリー,승리
ミッショナリー,선교사
ペンテコステ,오순절파
ファミリー,가족
エターナルライフ,영생
グレープバイン,포도나무
ハウス・オブ・ワーシップ,예배의 집
ビジョン,비전
福音派,복음주의
生きた水,생수
生きる家族,살아있는 가족
満ち足りた人生,전체 생활
神の恵み,하나님의 은혜
神の王国,하나님의 왕국
すべての民のためのキリスト,민족을 위한 그리스도
信仰のリバイバル,신앙의 부흥
日本リバイバル,일본 부흥
共同体,커뮤니티
本部,본부
再臨キリスト,그리스도께서 오십니다
