キリスト,Cơ Đốc
福音,Phúc Âm
聖書,Kinh Thánh
希望,Hy Vọng
望み,Hy Vọng
平和,Bình An
恵み,Ân Điển
グレイス,Ân Điển
愛,Tình Yêu
信仰,Đức Tin
栄光,Vinh Quang
復活,Phục Sinh
救い,Cứu Rỗi
いのち,Sự Sống
命,Sự Sống
真理,Lẽ Thật
聖霊,Thánh Linh
三位一体,Ba Ngôi
リバイバル,Phục Hưng
ホープ,Hy Vọng
コミュニティ,Cộng Đồng
ファミリー,Gia Đình
センター,Trung Tâm
ミッション,Truyền Giáo
ハーベスト,Mùa Gặt
カテドラル,Nhà Thờ Chính Tòa
ニュー,Mới
ジャパン,Nhật Bản
日本,Nhật Bản
東京,Tokyo
大阪,Osaka
神戸,Kobe
イエス,Chúa Giê-su
ジーザス,Chúa Giê-su
ハレルヤ,Ha-lê-lu-gia
カルバリ,Can-vê
ベテル,Bê-tên
シオン,Si-ôn
めぐみ,Ân Điển
インマヌエル,Em-ma-nu-ên
国際,Quốc tế
中央,Trung tâm
東,Đông
西,Tây
南,Nam
北,Bắc
第一,Thứ nhất
新生,Tái sinh
聖,Thánh
神,Đức Chúa Trời
主,Chúa
