あけの,아케노
あさひが丘,아사히가오카
あざみ野,아사미노
あすか野北,아수카노키타
あたご,아타고
いぶき野,이부키노
うちだ,우치다
お花茶屋,오하나자야
くし,구시
けやき台,게야키다이
こがね,고가네
こがわ,고가와
さいたま市,사이타마시
さいたま市中央区,추오쿠
さいたま市北区,기타쿠
さいたま市南区,미나미
さいたま市大宮区,오미야쿠
さいたま市岩槻区,이왙수키쿠
さいたま市緑区,미도리쿠
さいたま市西区,니시
さいたま市見沼区,미누마쿠
さくら市,사쿠라 시
しらかば,시라카바
しらとり台,시라토리다이
すすき野,수수키노
つつじが丘北,트숱수지가오카키타
とん田西町,톤덴니시마치
ほら,호라
まち,마치
みずの,미수노
みのわ,미노와
みゆき,미유키
みよし市,미요시시
ゆた,유타
ゆめみ野,유메미노
一の宮学園町,이치노미야가쿠엔초
一の宮町,이치노미야초
一の宮町中通,이치노미야마치나카도리
一之江,이치뇌
一宮東町,이꾸히가시마치
一志町庄村,이치시초쇼무라
一日市,히토이치
一本木,이뽄기
一社,이쌰
一色,이씨키
一色町,이씨키초
一迫,이치하사마
一里山,이치리야마
七左町,시치사초
七日市,나노카이치
七番町,시치반초
万代,반다이초
万代東,반다이히가시
万代町,반다이초
万木,만기
万沢,만사와
万町,만초
万石,만고쿠
万騎が原,마키가하라
三ケ,산가
三ツ沢下町,밑수사와시모마치
三ヶ日町,미까비
三丁,산조
三久保,미쿠보
三井郡,미이군
三保町,미호초
三倉,미쿠라
三吉町,미요시초
三和,사놔
三国本町,미쿠니혼마치
三国町,미쿠니초
三坂,미사카
三好市,미요시 시
三好町,미요시초
三室,밑수무로
三島中央,미시마추오
三島郡,미시마군
三川口町,미카와구치초
三成,미나리
三戸郡,산노헤 군
三方上中郡,미카타카미나카군
三方郡,미카타군
三日,미까마치
三日市,미까이치
三日町,미까마치
三春台,미하루다이
三条町,산조마치
三栄町,산'에이초
三根,밑수네
三橋,밑수하시초
三池,미이케
三津屋,밑수야
三浦郡,미우라군
三滝本町,미타키홈마치
三瓶町,미카메
三番町,산반초
三箇,산가
三芳町,미요시초
三苫,미토마
三蔵,산소
三角町,미수미마치
三角町手場,미수미마치테바
三軒家東,산겐'야히가시
三輪町,미와마치
三郎,사부로
三郎丸,사부로마루
三養基郡,미야키군
上の丸町,우에노마루초
上の山,우에노야마
上ケ,아게
上下町上下,조게초조게
上中,가미나카
上中条,가미추조
上中里,가미나카사토초
上丸子,가미마루코
上丸子山王町,가미마루코산노초
上之,가미노초
上之園,아게노손
上之町,가미노초
上井出,가미이데
上井草,가미이구사
上伊那郡,가미이나군
上倉田町,가미쿠라타초
上北,우에키타
上北沢,가미키타사와
上北郡,가미키타군
上十条,가미쥬조
上千田,가미치다
上吉田,가미요시다
上吉羽,가미요시바
上和田,가미와다
上堀,가미호리
上大崎,가미오사키
上安,가미야수
上宿町,가미주쿠초
上富野,가미토미노
上小町,가미코초
上小阪,가미코사카
上山田,가미야마다
上山門,가미야마토
上島田,가미시마타
上川井町,가미카와이초
上川郡,가미카와군 테시오 노 쿠니
上広,가미히로
上庄,가미노쇼
上彦名,가미히코나
上手,가미테
上新,가미니이
上新庄,가미신조
上新栄町,가미시네이초
上新田,가미신덴
上曽根,가미소네
上末,우와수에
上本,우에홈마치
上本町,우에홈마치
上杉,가미수기
上条,아게조
上東,가미히가시
上柳,가미야나기
上水内郡,가미미노치군
上永谷,가미나가야초
上池田,가미이케다
上池袋,가미이케부쿠로
上沢,가미사와
上津,가밑수
上浜,가미하마
上浮穴郡,가미우케나
上清戸,가미키요토
上物部,가미모노베
上田中町,가미타나카마치
上田原,가미타와라
上甲東園,가미코퇸
上益城郡,가미마시키군
上目黒,가미메구로
上石原,가미이시와라
上石田,가미이시다
上祖師谷,가미소시가야
上筒井通,가밑숱싀도리
上芝,우에노시바
上草柳,가미소야기
上荻,가미오기
上藤沢,가미후지사와
上西,우에니시
上谷,우와얕수
上貫,가미누키
上近江,가미오미
上通町,가미토리초
上連雀,가미렌자쿠
上郷,가미고
上郷町,가미고초
上野東,우에노히가시마치
上野通,우에노도리
上閉伊郡,가미헤이군
上青木,가미아오키
上飯田町,가미'이이다초
上香貫,가미카누키
上馬渡,가미마와타리
上高井郡,가미타카이군
上高田,가미타카다
上鳴子,가미나루코
上鶴間,가밑수루마
上鶴間本町,가밑수루마혼초
下並木,시모나미키
下中,시모나카
下丸子,시모마루코
下京区,시모교 쿠
下伊那郡,시모이나군
下佐曽利,시모사소리
下作延,시모사쿠노베
下出,시모데
下分,시모분
下切,시타기리
下到津,시모이토수
下吉田,시모요시다
下和田,시모와다
下城野,시모조노
下大,시모오마치
下大塚,시모'옽수카
下安松,시모야수맡수
下宗岡,시모무너카
下宮永,시모미야나가마치
下宿,시모주쿠
下富野,시모토미노
下小原,시모코바라
下小山田,사쿠라다
下小田,시모오다
下小田中,시모코다나카
下小路,시모코지
下屋敷,시모야시키
下山,오야마사키
下山手通,시모야마테도리
下山田,시모야마다
下島,시모지마
下川原,시모카와하라
下平,시모다이라
下平間,시모히라마
下庄,시모노쇼초
下新城長岡,시모신조나가오카
下新川郡,시모니이카와 군
下新田,시모신덴
下日出谷,시모히데야
下木戸,시모키도
下末吉,시모수에요시
下条,시모조
下根本,시모네모토
下森,시모모리
下永吉,시모나가요시
下永谷,시모나가야
下河内,시모고치
下浜,시모하마
下清戸,시모키요토
下田町,시모다초
下町,시모마치
下目黒,시모메구로
下硯川,시모수수리카와마치
下舘,시모타테
下藤沢,시모후지사와
下西,시모니시
下賀茂,시모가모
下通,시모토리
下連雀,시모렌자쿠
下都賀郡,시뫁수가군
下里,시모사토
下野谷町,시타노야초
下長,시모나가
下閉伊郡,시모헤이군
下飯田,시모이이다초
下飯野,시모이이노
下香貫,시모카누키
下高井戸,시모타카이도
下高野,시모타카노
下麻生,시모아사오
不動,후도
不破郡,후와군
与原,요바루
与謝郡,요사군
与那城宮城,요나시로미야기
与那城屋慶名,요나시로야케나
与那城饒辺,요나시로노헨
与那嶺,요나미네
世安町,요야수마치
世田谷区,세타가야
両併,료헤이
両国,료고쿠
両津夷,룥수에비수
並木町,나미키초
並柳,나미야나기
中ノ浜,나카노하마
中一,나카이치
中一色,나카이씨키
中三,나카산
中三谷,나카미타니
中丸,나카마루
中丸町,나카마루초
中之島,나카노시마
中之庄,나카노쇼
中之町,나카노초
中之郷,나카노고
中佐津間,나카샅수마
中分,나카분
中十条,나카주조
中原町,나카하라마치
中台,나카다이
中吉田,나카요시다
中向,나카무카이
中園町,나카소노초
中堂,나카도
中央台,추오다이
中央台鹿島,추오다이카시마
中央本町,추오혼초
中央林間,추오린칸
中央西,추오니시
中央通り,추오도리
中宮,나카미야
中富,나카토미
中居,나카이
中居林,나카이바야시
中屋敷,나카야시키
中山寺,나카야마데라
中山手通,나카야마테도리
中岩,나카이와
中島通,나카지마도리
中川原,나카가와라
中川原町,나카과라초
中川町,나카가와마치
中川西,나카가와니시
中川郡,나카가와군
中州,나카수
中巨摩郡,나카코마군
中希望が丘,나카키보가오카
中才,나카사이
中新川郡,나카니이카와 군
中曽根,나카소네초
中木,나카기
中本町,나카홈마치
中村北,나카무라키타
中村南,나카무라미나미
中村東,나카무라히가시
中村松木,나카무라맡수기
中根,나카네
中沢,나카사와초
中沢町,나카사와초
中河町,나카가와초
中沼,나카누마
中泉,나카이수미
中津町,나카수마치
中津留,나캍수루
中海岸,나카카이간
中清戸,나카키요토
中田北,나카타키타
中田東,나카타히가시
中田町,나카타초
中登,나카노보리
中神,나카가미초
中神町,나카가미초
中立,나카다치
中筋,나카수지초
中筋山手,나카수지야마테
中筋町,나카수지초
中落合,나카오치아이
中葛西,나카카사이
中軽井沢,나카카릐사와
中込,나카고미
中道,나카미치
中道通,나카미치도리
中郡,나카고리
中里,나카사토
中野台,나카노다이
中野山王,나카노 산노
中野田,나카노다
中野町,나카노초
中青木,나카'아오키
中須,나카수
中須賀,나카수카초
中頭郡,나카가미군
中魚沼郡,나카오누마군
中鶴野,나캍수루노
中黒,나카구로
串良町岡崎,구시라초오카사키
丸之内,마루노치
丸山通,마루야마도리
丸岡町,마루오카
丸林,마루바야시
丸町,마루마치
丹原町,탄바라초
丹羽郡,니와군
主師町,슈시초
久井,히사이초
久保田,구보타초
久保田町,구보타초
久保町,구보초
久原,구바루
久喜北,구키키타
久場,구바
久太郎町,큐타로마치
久宝寺,큐호지
久志,구시
久我原,구가하라
久木町,히사키초
久松台,히사맡수다이
久栗坂,구구리사카
久沢,구사와
久留,히사도메
久米郡,구메군
久賀,히사카초
久賀町,히사카초
久遠郡,구도군
久野喜台,구노키다이
乗田,노리덴
乙女,오토메
乙川,오토가와
乙舳町,오또모초
乙訓郡,오토쿠니군
九品寺,구혼지
九戸郡,구노헤군
九段北,구단키타
九段南,구담미나미
九番町,큐반초
亀井野,가메이노
亀場町亀川,가메바마치카메가와
亀島,가메지마
亀川,가메카와
亀田郡,가메다군
亀谷,가메가이
二ツ井町仁鮒,후탙싀마치니부나
二ツ宮,후탙수미야
二ツ屋,후탙수야
二ツ橋町,후탙수바시초
二ノ,니노마치
二俣,후타마타
二子,후타고
二子町,후타고초
二戸郡,니노헤군
二日市北,훝수카이치키타
二木,후타키
二本木,니혼기
二条,니조
二枚橋,니마이바시
二海郡,후타미군
二見町西二見,후타미초니시후타미
二里町大里甲,니리초오사토코
五十子,이카꼬
五女子,고뇨시
五所,고쇼
五日町,잍수카마치
五智,고치
五月が丘,샅수키가오카
五月丘,샅수키가오카
五月町,샅수키초
五田,고타
五番町,고반초
五稜郭町,고료카쿠초
五軒町,고켄초
五門西,고몬니시
五香西,고코니시
井の頭,이노카시라
井ノ口,이노쿠치
井ノ口町,이노쿠치마치
井上,이노우에
井上町,이노우에마치
井出,이데
井口,이노쿠치
井土ヶ谷下町,이도가야시모마치
井揚町,이아게마치
井田,이다
井野台,이노다이
亘理郡,와타리군
京王,게이오
京町,교마치
京都市上京区,가미교 쿠
京都市下京区,시모교 쿠
京都市中京区,나카교 쿠
京都市伏見区,후시미쿠
京都市南区,미나미
京都市右京区,우쿄 쿠
京都市山科区,야마시나 쿠
京都市左京区,사쿄 쿠
京都市西京区,니시쿄 쿠
京都郡,미야코군
人形,닌교
仁保,니호
仁多郡,니타 군
仁摩町仁万,니마초니마
仁方本町,니가타혼마치
今井南町,이마이미나미초
今井町,이마이초
今任原,이마토바루
今宮,이마미야
今宿東,이마주쿠히가시
今川,이마가와
今川町,이마가와초
今市町,이마이치초
今池,이마이케초
今沢,이마사와
今泉町,이마이수미마치
今津町,이마수초
今町,이마마치
今福西,이마후쿠니시
今羽町,콘바초
今谷上町,이마야카미초
今里,이마사토
仏向町,부꼬초
仙台市太白区,다이하쿠 쿠
仙台市宮城野区,미야기노
仙台市泉区,이수미쿠
仙台市若林区,와카바야시
仙台市青葉区,아오바
仙石,센고쿠
代官山町,다이칸'야마초
代官町,다이칸초
代沢,다이사와
仲六郷,나카로쿠고
仲多度郡,나카타도군
仲宗根,나카소네
仲尾台,나카오다이
仲池上,나카이케가미
仲田,나카타
仲町,나카초
仲町台,나카마치다이
仲里,나카사토
仲間,나카마
伊予郡,이요군
伊保,이호
伊倉,이쿠라초
伊勢町,이세초
伊差川,이사가와
伊祖,이소
伊福,이후쿠초
伊興,이코
伊興本町,이코혼초
伊良皆,이람미야
伊達市,다테
伊達郡,다테군
伊都郡,이토군
伊集,이주
伏原,후시하라
伏屋町,후세야초
伏見区,후시미쿠
伝馬,템마
伯太町,하카타초
佃野町,트수쿠노초
住ノ江,수미뇌쿠
住吉宮町,수미요시미야마치
住吉本町,수미요시홈마치
住吉町,수미요시초
住用,수미요초이치
佐久間町,사쿠마
佐井寺,사이데라
佐助,사수케
佐古,사코
佐土原町下田島,사도와라초시모타지마
佐波,사바
佐波郡,사와군
佐用郡,사요군
佐田,사다
佐藤,사토
佐那具町,사나구초
佐鳴台,사나루다이
余市郡,요이치군
作才町,자쿠사이초
保免西,호멘니시
保内町,호나이초
保原町,호바라마치
保戸野中町,호도노나카마치
保戸野桜町,호도노사쿠라마치
保田,호타
保谷町,호야초
信州新町,신슈신마치
信楽町牧,시가라키초마키
信楽町長野,시가라키초나가노
信達市場,신다치이치바
信達牧野,신다치마키노
修多羅,수타라
俵屋,다와라야
倉垣,구라가키
元代々木町,모토요요기초
元和田,모토와다
元城町,모토시로초
元大工町,모토다이쿠마치
元寺町,모토테라마치
元本郷町,모토혼고초
元浜,모토하마
元総社町,모토소자마치
元郷,모토고
元麻布,모토아사부
光ケ丘,히카리가오카
光丘町,히카리가오카마치
光城,고조
光町,히카리마치
光陽台,고요다이
児島味野,고지마아지노
児湯郡,고유군
児玉郡,고다마군
入山瀬,이리야마세
入新,이리신마치
入江,이리에
入江町,이리에초
入舟町,이리후네초
入船,이리후네초
入船町,이리후네초
入谷,이리야
入間郡,이루마군
八丁,핱초
八代町,야시로초
八反,하딴
八坂,야사카
八坂町,야사카마치
八屋,하치야
八幡台,하치만다이
八幡山,하치만'야마
八幡野,야와타노
八広,야히로
八日町,요카마치
八木沢,야기사와
八木町,야기초
八本松,하치홈맡수
八橋南,야바세미나미
八田,하따
八田町,하따초
八田西町,한다니시마치
八町,핱초
八番,하치반
八百,야오
八重咲町,얘사키초
八重山郡,얘야마군
八重田,얘다초
八頭郡,야수군
公園通り,쾬도리
公園通南,쾬도리미나미
公文名,구모묘
公郷町,구고초
六ツ野,뭍수노
六万寺町,로쿠만지초
六浦,뭍수라
六浦東,뭍수우라히가시
六番,로쿠반
六軒,로껜마치
六軒町,로껜마치
共恵,도뫼
共栄大通,교에이오도리
共栄町,교에이마치
兵庫塚,효곹수카
具志,구시
兼城,가네구수쿠
兼箇段,가네카단
内中,우치나카
内免,나이멘
内原,나이하라
内山,우치야마
内本町,우치홈마치
内橋,우치하시
内牧,우치노마키
内町,우치마치
内谷,우치야
内郷綴町,우치곹수수라마치
円光,엔코
円明寺,엔묘지
冬木,후유키
冷泉町,레이센마치
出口,데구치
出口町,데구치초
出川,이데가와
出水市,이수미 시
出水郡,이수미군
出町,데마치
刀根,도네
切山,기리야마
初声町三戸,핱수세마치미토
初音町,핱수네초
別名,벹수묘
別府町,베뿌초
別府西,베후니시
別所町,베씨요초
利右衛門,리에몬
利松,도시맡수
利根郡,도네군
則武,노리타케
前原西,매바루니시
前山,매야마
前川,매가와
前川町,매카와초
前平,매히라
前田町,매다초
前町,매마치
前畑,매바타
前郷,매고
前里,매사토초
前野,매노
前野町,매노초
前開南町,젠카이미나미마치
加古郡,가코군
加島町,가지마초
加沢,가사와
加治木町,가지키 초
加神,가신
加納町,가노초
加美,가미
加美北,가미키타
加美町,가미 마치
加美郡,가미군
加茂川町,가모가와초
加茂町,가모마치
加茂郡,가모군
加藤,가토
加賀郡,가가군
助川,수케카와
勅使,초쿠시마치
勇払郡,유훝수군
勝どき,가치도키
勝俣,캍수마타
勝山北,캍수야마키타
勝山南,캍수야마미나미
勝山町,캍수야마
勝田郡,캍수타군
勝竜寺,쇼류지
勝連内間,캍수렌우치마
勝連平安名,캍수렌헨나
勝野,캍수노
勢理客,짙차쿠
勢田,세이타
勢野東,세야히가시
北の沢,기타노사와
北ノ沢,기타노사와
北上野,기타우에노
北中条,기타추조
北九州市八幡東区,야하타히가시 쿠
北九州市八幡西区,야하타니시 쿠
北九州市小倉北区,고쿠라키타 쿠
北九州市小倉南区,고쿠라미나미 쿠
北九州市戸畑区,도바타 쿠
北九州市若松区,와카맡수 쿠
北九州市門司区,모지쿠
北佐久郡,기타사쿠군
北俣,기타마타
北千束,기타센소쿠
北原,기타바루
北口,기타구치
北向,기타무키
北園,기타소노
北園町,기타소노초
北城,기타시로초
北大和,기타야마토
北大路,기타오지
北宇和郡,기타우와군
北安曇郡,기타아수미 군
北寺尾,기타테라오
北小岩,기타코이와
北小野,기타오노
北嶺町,기타미네마치
北川内,기타가와치
北平野,기타히라노
北幸,호꼬초
北斗町,호쿠토초
北新地,기타신치
北新宿,기타신주쿠
北新町,기타심마치
北春日丘,기타카수가오카
北本町,기타혼초
北杜市,호쿠토
北松浦郡,기타맡수우라군
北永井,기타나가이초
北沖洲,기타오키노수
北津守,기탙수모리
北津軽郡,기탙수가루 군
北烏山,기타카라수야마
北牟婁郡,기타무로군
北畝,기타세
北相馬郡,기타소마군
北砂,기타수나
北落合,기타오치아이
北葛城郡,기타캍수라기군
北葛西,기타카사이
北葛飾郡,기타캍수시카 군
北見団地,기타미단치
北諸県郡,기타모로카타 군
北足立郡,기타아다치군
北進町,호쿠신초
北郷,기타고
北野町,기타노초
北長狭通,기타나가사도리
北青木,기타오기
北馬込,기타마고메
十七流,주시치나가레
十三元今里,주소모토이마사토
十三東,주소히가시
十三森,주산모리
十二町,주니초
十余二,도요후타
十和田毛馬内,도와다케마나이
十文字町,주몬지마치
十日市,도카이치마치
十日市場町,도카이치바초
十番,주반
十足,도타리
十軒,주껜무라
千人町,센닌초
千代,센다이
千代田区,지요다쿠
千住旭町,센주아사히초
千住桜木,센주사쿠라기
千住河原町,센주카와라초
千住関屋町,센주세키야초
千住龍田町,센주탙수타초
千倉町,지쿠라
千厩町千厩,센마야초센마야
千同,센도
千塚,지수카
千守町,지모리초
千早,지하야
千本中,셈본나카
千歳台,지토세다이
千歳町,지토세초
千浜,지하마
千田,센다마치
千町,센초
千石,센고쿠마치
千石町,센고쿠마치
千福,센푸쿠
千種区,지쿠사쿠
千葉市稲毛区,이나게 쿠
千葉市緑区,미도리 쿠
千葉市美浜区,미하마 쿠
千葉市花見川区,하나미가와 쿠
千葉市若葉区,와카바 쿠
千里丘中,센리오카나카
千間台東,센겐다이히가시
千間台西,센겐다이니시
千防,센보
千鳥,지도리초
協和,교와
南が丘,미나미가오카
南上,미나미우에마치
南上原,미나미우에바루
南下,미나미시모무라
南中,미나미나카
南久が原,미나미쿠가하라
南五葉,미나미고요
南会津郡,미나미아이수군
南佐久郡,미나미사쿠군
南保,난보
南側,미나미가와
南八幡,미나미야와타
南六郷,미나미로쿠고
南初富,미나미핱수토미
南十番町,미나미주반초
南千住,미나미센주
南千束,미나미센소쿠
南原,미나미하라마치
南口,미나미구치
南台,미나미다이
南吉田,미나미요시다
南埼玉郡,미나미사이타마 군
南塚口町,미나밑수카구치초
南多聞台,미나미타몬다이
南大塚,미나미옽수카
南大通り,미나미오도리
南大野,미나미오노
南太田,미나미오타
南宇和郡,미나미우와군
南小岩,미나미코이와
南小阪合町,미나미코사카아이초
南山田町,미나미야마타초
南山町,미나미야마초
南島,미나미지마
南巨摩郡,미나미코마군
南平,미나미히라
南平台町,난페이다이초
南幸,미나미사이와이
南幸町,미나미사이와이초
南庄,미나미쇼
南後谷,미나미우시로야
南恵我之荘,미나미에가노쇼
南手城町,미나미테시로초
南新,미나미심마치
南新町,미나미심마치
南方,미나미가타
南木,미나기
南本町,미나미혼초
南松浦郡,미나미맡수우라 군
南松野,미나미맡수노
南林間,미나미린칸
南栄,나네이초
南武庫之荘,미나미무코노소
南池袋,미나미이케부쿠로
南沢,미나미사와
南河内郡,미나미카와치군
南泉ケ丘,미나미이수미가오카
南津軽郡,미나밑수가루 군
南湖,난고
南烏山,미나미카라수야마
南牟婁郡,미나미무로군
南田,미나미다마치
南田中,미나미타나카
南田尻,미나미타지리
南田辺,미나미타나베
南畑,미나미하타
南矢名,미나미야나
南秋田郡,미나미아키타군
南稲八妻,미나미'이나야수마
南笠,미나미가사초
南篠崎町,미나미시노사키마치
南紀寺町,미나미키데라초
南船場,미나미셈바
南花園,미나미하나소노
南荻窪,미나미오기쿠보
南落合,미나미오치아이
南観音,미나미카논
南軽井沢,미나미카릐사와
南通亀の町,미나미도리카메노초
南部町,나베초
南郷町,난고마치
南都留郡,미나밑수루군
南野,미나미노
南金目,미나미카나메
南長尾,미나미나가오
南長崎,미나미나가사키
南長野,미나미나가노
南陵町,난료초
南陽町,난'요초
南雪谷,미나미유키가야
南青山,미나미아오야마
南館,미나미다테
南馬込,미나미마고메
南高,미나미다카
南鳥旗町,미나미토리하타마치
南鳩ヶ谷,미나미하토가야
南鴻池町,미나미코노이케초
博多区,하카타
博多駅前,하카타에키매
印南町,이나미 초
印旛郡,임바군
厚岸郡,아께시군
原口,하루구치
原山,하라야마
原沢,하싸와
原田,하라다
原田通,하라다도리
厳原町久田,이수하라마치쿠타미치
友寄,도모요세
双葉郡,후타바군
反町,탄마치
取出町,도리데마치
口田,구치타
口田南,구치타미나미
口野,구치노
古前城町,고센조초
古堅,후루겐
古島,후루지마
古川南,후루카와미나미
古川町,후루카와초
古市町,후릐치초
古庄,후루쇼
古江町,후루에초
古泉,고이수미
